best_parallelized_time,dist_m,avg_trips,ttt_contribution,ttt_pm,n1_latitude,n2_latitude,n1_longitude,n2_longitude,n1_planningArea,n2_planningArea,n1_avg_flow,n2_avg_flow,n1_pop_estimate,n2_pop_estimate,pair,label
0.0,20039.0,0.0,0.0,0.0,1.37415475892549,1.31662343088137,103.74679713839167,103.91755342481619,12,2,74906,8772,1215,47,"('44871', '83181')",0
0.0,17907.0,0.0,0.0,0.0,1.37852555601793,1.31327026591962,103.75322999998068,103.90049572645528,12,15,18902,18429,306,68,"('44411', '82159')",0
62.77096556987324,500.0,828.0357142857143,51803.29189223255,103.60658378446509,1.28474856880259,1.28177041153491,103.83517705055233,103.8383828488293,6,6,56946,167822,501,1479,"('06049', '06029')",1
99.16446233232774,200.0,4.035714285714286,384.8525210786173,1.9242626053930862,1.32151780618055,1.31962187605788,103.74580944947768,103.74477002532701,17,17,57898,55677,443,426,"('20269', '20259')",1
0.0,14377.0,0.0,0.0,0.0,1.30633972996805,1.39031766666667,103.81430670816292,103.912942666667,45,32,20551,59218,103,1404,"('13021', '65521')",0
145.8097340212235,500.0,508.1071428571429,70643.09790827564,141.2861958165513,1.3375,1.33836472248768,103.87444,103.8704496726279,47,47,30294,251283,278,2310,"('70061', '61031')",1
0.0,6163.0,0.0,0.0,0.0,1.27278805556375,1.30903304650021,103.8079488888896,103.7658699915105,6,13,28069,15118,247,61,"('14491', '17139')",0
0.0,8378.0,0.0,0.0,0.0,1.36018670154842,1.39031766666667,103.84386020713477,103.912942666667,3,32,152769,59218,1750,1404,"('53379', '65521')",0
0.0,3836.0,0.0,0.0,0.0,1.295962316986,1.314075556,103.85795174896221,103.8873525,14,15,75898,120435,25,449,"('80159', '81049')",0
328.9999999999998,300.0,0.8095238095238096,238.71428571428555,0.7957142857142853,1.30273638896787,1.30492020241064,103.65543583300811,103.65548029310382,31,31,9620,4428,0,0,"('24549', '24539')",1
0.0,14216.0,0.0,0.0,0.0,1.34238972202327,1.32008815616383,103.73598888901057,103.86179781146463,17,19,123887,702269,949,3655,"('28289', '60121')",0
0.0,17384.0,0.0,0.0,0.0,1.33515192012369,1.37014334916955,103.74794188238828,103.90023200745897,17,16,122655,5134,940,61,"('28651', '64311')",0
186.0,200.0,8.0,1462.8214285714287,7.314107142857145,1.34081972201603,1.34016007378301,103.69742194398371,103.69865436006683,18,18,78642,61428,422,330,"('22239', '22249')",1
214.5,300.0,2.142857142857143,459.6428571428571,1.532142857142857,1.31576900455367,1.31453185933289,103.78266099158458,103.78504157068625,8,8,10392,5165,134,66,"('12149', '12139')",1
55.075675282139954,300.0,9.321428571428571,483.3363694466753,1.611121231488918,1.3597807263938,1.3568307844677,103.89332464938751,103.89260949897677,16,16,91346,46869,1093,560,"('63071', '63081')",1
0.0,19010.0,0.0,0.0,0.0,1.44146349893337,1.3563896244901,103.80545909188204,103.95390226733993,50,44,39368,192297,399,2086,"('47659', '76221')",0
0.0,10613.0,0.0,0.0,0.0,1.31574389841394,1.3891573228776,103.78239154819083,103.84383135324573,8,1,12847,38264,165,368,"('12141', '55039')",0
48.172207851248444,200.0,3.642857142857143,173.9497133492946,0.8697485667464728,1.28685859481289,1.28837086415387,103.83360028266564,103.83349881780524,6,6,31118,37502,274,330,"('06071', '06081')",1
42.033750126540056,500.0,205.71428571428572,8558.990076767102,17.117980153534205,1.34802638899143,1.34950194446778,103.94517805600674,103.94932305553937,44,44,203835,186266,2211,2020,"('76071', '76081')",1
214.2668931118534,500.0,103.10714285714283,21627.189954410034,43.254379908820084,1.40653182138609,1.40502618974463,103.89871180015278,103.90299618971393,32,32,51593,112730,1223,2672,"('65401', '65251')",1
0.0,28739.0,0.0,0.0,0.0,1.38283900023768,1.3563896244901,103.6969997018249,103.95390226733993,0,44,0,192297,0,2086,"('31211', '76221')",0
0.0,11606.0,0.0,0.0,0.0,1.32469500003392,1.42657294826877,103.81026249997407,103.83536957259517,8,51,69357,250620,895,2785,"('41049', '59069')",0
0.0,6764.0,0.0,0.0,0.0,1.30526598535719,1.36433664907741,103.86072019914616,103.84490672378502,19,1,72465,64924,377,625,"('01219', '54071')",0
0.0,8301.0,0.0,0.0,0.0,1.35393625714127,1.40248255094729,103.76006304222618,103.8169622653191,5,51,48657,2318,303,25,"('43231', '57141')",0
0.0,1814.0,0.0,0.0,0.0,1.37912306945844,1.38253470078472,103.88326933020046,103.89922222337448,16,38,139491,13209,1669,125,"('66499', '67169')",0
117.94011718242136,400.0,144.96428571428572,16951.86707395013,42.379667684875315,1.44267569107428,1.44569499940057,103.80124424937155,103.79963351229267,50,50,21802,152710,221,1548,"('46781', '46791')",1
0.0,14968.0,0.0,0.0,0.0,1.32996642498284,1.37595638900393,103.75819801692671,103.884701388976,13,16,23079,79420,93,950,"('28181', '64609')",0
0.0,3729.0,0.0,0.0,0.0,1.33727934409499,1.37071120082306,103.75440999786483,103.74995297031272,13,12,91302,20056,370,325,"('28689', '44161')",0
0.0,3041.0,0.0,0.0,0.0,1.30350269187301,1.32829192682419,103.85864530718491,103.8704918465033,35,47,46395,126965,78,1167,"('01129', '60219')",0
0.0,21833.0,0.0,0.0,0.0,1.337187,1.29607137626294,103.704805,103.89668750894906,18,23,133068,124,715,0,"('22499', '91101')",0
192.41554222510996,200.0,1.0714285714285714,214.27111147567174,1.0713555573783586,1.37283117687855,1.374679,103.94765867700548,103.948026,29,29,6208,4761,42,32,"('77329', '77379')",1
0.0,8482.0,0.0,0.0,0.0,1.326261111,1.33278746546959,103.7757089,103.85165691373105,8,47,12251,31899,158,293,"('12089', '52259')",0
0.0,19.99999999999993,0.0,0.0,0.0,1.44722064601498,1.44748179252514,103.82018490260376,103.81941391689068,37,37,28074,224060,379,3032,"('58241', '58009')",1
0.0,16151.0,0.0,0.0,0.0,1.38044981963514,1.41289253257843,103.69659409681319,103.83810681040471,0,51,0,32257,0,358,"('31201', '59501')",0
0.0,2904.0,0.0,0.0,0.0,1.34750333302055,1.36219637653141,103.87601972203167,103.89765089844938,39,16,21159,5089,251,60,"('62161', '64211')",0
78.50572137943405,600.0,47.214285714285715,3776.0364021173837,6.293394003528972,1.35708169204878,1.36143610819625,103.85433890252277,103.85257506359629,3,1,31724,166223,363,1600,"('54109', '54311')",1
48.60217477526637,400.0,8.321428571428571,393.0584456382453,0.9826461140956133,1.37448606693865,1.37820722702851,103.76257120089846,103.76172178111382,7,7,7621,181884,61,1478,"('44011', '44021')",1
0.0,7856.0,0.0,0.0,0.0,1.32551656861142,1.33974260070464,103.69643109025226,103.76559520495253,31,8,24626,15719,0,202,"('22161', '42211')",0
0.0,11343.0,0.0,0.0,0.0,1.40559323576727,1.31662343088137,103.86681241814273,103.91755342481619,36,2,5629,8772,2,47,"('68081', '83181')",0
168.37053850250135,400.0,21.714285714285715,3778.56177023008,9.4464044255752,1.30867772794032,1.31088501240237,103.92426998119757,103.92498850824487,2,2,72757,11849,397,64,"('93021', '93121')",1
93.46684901490818,400.0,473.1428571428571,44485.21817726963,111.21304544317405,1.37368803498525,1.37031163160495,103.95635599319583,103.95718010428234,29,29,91201,93683,623,640,"('78081', '78071')",1
0.0,39.99999999999986,0.0,0.0,0.0,1.3904399999914,1.39099505909557,103.88569800003212,103.88834913656447,38,38,26785,63730,253,603,"('65801', '67361')",1
417.00000000000006,900.0,0.7142857142857143,297.8571428571429,0.330952380952381,1.30957805602715,1.30854833300657,103.66123000003104,103.66868333299611,31,31,4958,2430,0,0,"('24671', '24331')",1
0.0,16671.0,0.0,0.0,0.0,1.43291945534759,1.36626888891089,103.7987803897484,103.93315812393162,50,44,36587,4109,370,44,"('47569', '75469')",0
264.7499999999999,200.0,4.035714285714286,1048.4999999999995,5.242499999999999,1.360247,1.359138,103.940633,103.939389,44,44,89360,47227,969,512,"('76541', '76511')",1
0.0,16830.0,0.0,0.0,0.0,1.33260638902834,1.3904399999914,103.74580722197156,103.88569800003212,17,38,59106,26785,453,253,"('28059', '65801')",0
0.0,21046.0,0.0,0.0,0.0,1.41091935719422,1.35384124345467,103.7794566466511,103.95987193850509,21,44,13291,180118,84,1953,"('48021', '76421')",0
0.0,26877.0,0.0,0.0,0.0,1.28643527800393,1.38959028129733,103.77893444397212,103.99761693950214,33,10,30509,6622,254,3,"('16239', '95081')",0
229.1167063625453,200.0,39.857142857142854,8365.11696607567,41.825584830378354,1.28115835063292,1.27914353103301,103.81857250844851,103.8168725087535,6,6,67410,145518,594,1282,"('10339', '14241')",1
1547.2714008283883,9000.0,418.3928571428571,647542.6435639146,71.94918261821275,1.35335792415265,1.35045541249544,103.8511190167485,103.84988083722291,3,3,19665,1022890,225,11720,"('53269', '53009')",1
0.0,14940.0,0.0,0.0,0.0,1.417805,1.36790255939851,103.8376805,103.96243675215658,51,29,95506,39894,1061,272,"('59431', '78211')",0
0.0,15884.0,0.0,0.0,0.0,1.28159092769912,1.37447444021165,103.78400650244838,103.89289427356103,33,16,9657,21238,80,254,"('16209', '64371')",0
0.0,9514.0,0.0,0.0,0.0,1.41035479540467,1.38851043039698,103.76322407621203,103.84591573293089,43,1,3045,14137,0,136,"('45199', '55229')",0
441.0,200.0,74.46428571428572,34090.71428571428,170.45357142857142,1.37046966291161,1.36880777071199,103.83679073259783,103.83679395921905,1,1,164218,118033,1581,1136,"('54189', '54219')",1
0.0,3635.0,0.0,0.0,0.0,1.354019,1.38013294516415,103.874925,103.8947798896038,39,38,22583,6493,268,61,"('63141', '67711')",0
116.6929125485898,500.0,11.357142857142856,1371.456338806903,2.742912677613806,1.35017159420349,1.34602837489201,103.86143525134639,103.86040421534554,39,39,33636,9694,399,115,"('66029', '66019')",1
0.0,22774.0,0.0,0.0,0.0,1.33060763294167,1.46237692251291,103.65169663523501,103.80898707919847,48,37,11500,20636,0,279,"('25121', '47811')",0
0.0,9202.0,0.0,0.0,0.0,1.36618666697727,1.31888900641724,103.84418333302729,103.91222670426201,1,2,240285,86633,2313,473,"('54019', '83059')",0
219.7499999999999,200.0,15.714285714285714,3530.3571428571413,17.651785714285708,1.39436168074215,1.39267723795995,103.74373102471621,103.74330600001463,12,12,72430,55365,1175,898,"('45269', '45461')",1
0.0,17230.0,0.0,0.0,0.0,1.43689816677634,1.34383983323818,103.75406639623813,103.8782509427123,43,39,3812,43842,0,520,"('49181', '62089')",0
0.0,13832.0,0.0,0.0,0.0,1.34989395166691,1.34698958928417,103.7477975366473,103.87205488524701,5,39,19932,54596,124,648,"('43391', '62129')",0
0.0,22808.0,0.0,0.0,0.0,1.32546645428693,1.41416011900146,103.65711196773577,103.84214688104234,48,51,8434,13387,0,148,"('25171', '59739')",0
59.99704918277861,300.0,4.714285714285714,277.8589966947109,0.9261966556490364,1.30692642897557,1.30838779885113,103.81186453577433,103.80939522851014,45,45,32108,18004,162,91,"('11201', '11211')",1
0.0,14904.0,0.0,0.0,0.0,1.30982186660782,1.439225,103.76816139829276,103.805645,13,50,44455,44342,180,449,"('16891', '47759')",0
