,lat,lon,def
0,1.35407552367477,103.94339098473914,105176
1,1.35296163572491,103.94165154852797,214105
2,1.34875342114003,103.94208629087403,105885
3,1.34005496226354,103.94838106593957,-167886
4,1.33737118239889,103.95067333143491,-29819
5,1.33394889968504,103.9501523198666,15065
6,1.33338002405472,103.94880327361744,11770
7,1.3318,103.94738,30739
8,1.32950222197902,103.94906611097686,9195
9,1.32671998700111,103.95124872703616,-54304
10,1.32442497435966,103.95298594261581,-22301
11,1.32261805599904,103.95429972202514,-23041
12,1.321288333018,103.95534472201146,-50597
13,1.31962000617397,103.95524325955397,-9261
14,1.31809668590525,103.95085659912792,10878
15,1.31707137658578,103.94798092494041,58719
16,1.31616443335073,103.94482108127718,7849
17,1.31536333302999,103.94294138900047,11732
18,1.31485363967239,103.94066333773824,64606
19,1.31453305602342,103.93750499997167,21597
20,1.3142851610342,103.93574953076752,26335
21,1.31390444400831,103.93171138898548,-276
22,1.31295810131062,103.92790605020116,-1704
23,1.31250502315071,103.9250247698478,2245
24,1.31168943552207,103.92240015622043,20044
25,1.31076138897412,103.91930777802244,3559
26,1.309748,103.9166295,10465
27,1.30928064742874,103.91434517290193,24422
28,1.30853972762017,103.91062932209371,15996
29,1.30686400495083,103.90646134135645,-15897
30,1.30444500073,103.90277451423108,48880
31,1.30356602776936,103.90145614778639,29584
32,1.3023783312326,103.89900426571224,30626
33,1.30380001918907,103.89656923070308,32081
34,1.30725334418948,103.89541128171984,102273
35,1.30862937328019,103.8906311270188,-14394
36,1.30821308595952,103.88850877408412,-273316
37,1.30726086825664,103.88490711001795,2391
38,1.30711835522323,103.87989373246151,-7049
39,1.30674381370885,103.875264139574,-947
40,1.30070547633658,103.86336013257065,-25123
41,1.295962316986,103.85795174896221,-25403
42,1.29184407356581,103.85534334305085,-9363
43,1.284245000013,103.85310805599599,-120637
44,1.281111,103.851461,-96182
45,1.27807003532092,103.84956718123823,-104504
46,1.27552218897645,103.8479443674916,4119
47,1.2723842122117,103.84093912218094,1223
48,1.27231269789239,103.83862035734883,3143
49,1.27220342411953,103.8339025862589,2274
50,1.270896111,103.8308919,-267
51,1.26837500002503,103.82825805600972,435
52,1.26552421466644,103.82211326846237,-113458
53,1.26591350024271,103.81925660621779,126163
54,1.26740130257465,103.81675441150337,-14777
55,1.26964765905364,103.8129359412343,6492
56,1.27075866533548,103.81009913005327,-22630
57,1.27145959833005,103.80654857059398,5699
58,1.27275860463579,103.80095947823813,570
59,1.27389192906939,103.79822208982421,-12834
60,1.27443806198132,103.79666055940478,-5667
61,1.27581227029734,103.79263571257981,-5425
62,1.27680819120105,103.78970861437152,-3685
63,1.27949923466491,103.78548955401584,3130
64,1.28130063164133,103.78410758834183,1322
65,1.28277766355314,103.78186930413443,193526
66,1.28625793147796,103.77981027693801,-4947
67,1.28800629048399,103.77846479413628,-67376
68,1.2893086506189,103.77660095143266,7977
69,1.29014861601908,103.77426036615236,-5342
70,1.29046257201356,103.77356171611027,-3301
71,1.29129940835907,103.77117221155989,700
72,1.29195777797363,103.76866138900287,4326
73,1.29425341056334,103.76988323197696,-8464
74,1.29201138346787,103.76908420716119,8988
75,1.29138264862382,103.77129836184207,-7912
76,1.290648611,103.7736967,16956
77,1.28967266173408,103.77594136139503,-4072
78,1.28910696351866,103.77738952047318,504
79,1.28799020188116,103.77872029260048,59855
80,1.28608472200879,103.78022138902949,878
81,1.28278078585184,103.78217614858187,-170787
82,1.28159092769912,103.78400650244838,-2958
83,1.27937638961898,103.78572727156029,-7122
84,1.27818114088895,103.78701031206879,688
