pair,prob
['83199' '83081'],0.99999964
['15161' '15149'],0.99999964
['01519' '01139'],0.99999964
['99101' '99099'],0.99999964
['18131' '18289'],0.99999964
['03111' '05429'],0.99999964
['01621' '02049'],0.99999964
['99041' '99129'],0.99999964
['13159' '13179'],0.99999964
['14179' '14499'],0.99999964
['16169' '16159'],0.99999964
['99131' '99171'],0.99999964
['68081' '68109'],0.99999964
['01511' '01559'],0.99999964
['65349' '65251'],0.99999964
['15051' '15049'],0.99999964
['01012' '07569'],0.99999964
['80159' '01029'],0.99999964
['15221' '15219'],0.99999964
['05271' '05189'],0.99999964
['99009' '99189'],0.99999964
['15141' '15051'],0.99999964
['83199' '83179'],0.99999964
['93159' '93151'],0.99999964
['03071' '03041'],0.99999964
['17381' '16151'],0.99999964
['21771' '21561'],0.99999964
['44259' '44799'],0.99999964
['14379' '14019'],0.99999964
['18131' '18279'],0.99999964
['93101' '93119'],0.99999964
['49239' '49229'],0.99999964
['01541' '01113'],0.99999964
['14171' '14499'],0.99999964
['44259' '44679'],0.99999964
['03218' '05419'],0.99999964
['15141' '15059'],0.99999964
['01541' '01039'],0.99999964
['67109' '65061'],0.99999964
['43381' '43321'],0.99999964
['48099' '48081'],0.99999964
['14489' '14239'],0.99999964
['04179' '01013'],0.99999964
['08031' '04019'],0.99999964
['27091' '22591'],0.99999964
['65191' '65159'],0.99999964
['14319' '14309'],0.99999964
['83191' '83179'],0.99999964
['99031' '99131'],0.99999964
['68191' '68189'],0.99999964
['03217' '03111'],0.99999964
['01019' '01039'],0.99999964
['03059' '03579'],0.99999964
['01012' '08079'],0.99999964
['03111' '03223'],0.99999964
['95071' '95079'],0.99999964
['93109' '83229'],0.99999964
['03059' '03071'],0.99999964
['42189' '43011'],0.99999964
['99039' '99119'],0.99999964
['99131' '99119'],0.99999964
['94069' '84681'],0.99999964
['41159' '41161'],0.99999964
['99091' '99089'],0.99999964
['68209' '68069'],0.99999964
['04121' '01013'],0.99999964
['49219' '49229'],0.99999964
['97009' '96449'],0.99999964
['95071' '95099'],0.99999964
['92109' '92041'],0.99999964
['14339' '14341'],0.99999964
['14141' '14129'],0.99999964
['97159' '97301'],0.99999964
['03059' '03151'],0.99999964
['08069' '07561'],0.99999964
['83079' '83062'],0.99999964
['14089' '14381'],0.99999964
['14061' '05431'],0.99999964
['03223' '05651'],0.99999964
['80161' '01549'],0.99999964
['18131' '18281'],0.99999964
['28399' '28381'],0.99999964
['04121' '07561'],0.99999964
['04019' '04029'],0.99999964
['55281' '59019'],0.99999964
['45181' '45199'],0.99999964
['01019' '07569'],0.99999964
['42181' '43011'],0.99999964
['01529' '01113'],0.99999964
['14119' '14019'],0.9999995
['14171' '15049'],0.9999995
['97009' '97179'],0.9999995
['59041' '59499'],0.9999995
['68121' '68189'],0.9999995
['18179' '11459'],0.9999995
['71101' '71099'],0.9999995
['80151' '01639'],0.9999995
['14329' '14499'],0.9999995
['05019' '10017'],0.9999995
['44459' '44561'],0.9999995
['01621' '01029'],0.9999995
['04029' '07569'],0.9999995
['44099' '44181'],0.9999995
['71101' '71091'],0.9999995
['04179' '04168'],0.9999995
['68129' '68181'],0.9999995
['68181' '68199'],0.9999995
['05019' '06029'],0.9999995
['01549' '07551'],0.9999995
['14291' '14029'],0.9999995
['14501' '14499'],0.9999995
['16189' '16151'],0.9999995
['67609' '67469'],0.9999995
['71109' '71099'],0.9999995
['90039' '90051'],0.9999995
['45271' '45299'],0.9999995
['18011' '15059'],0.9999995
['83181' '83201'],0.9999995
['80151' '01631'],0.9999995
['14171' '14169'],0.9999995
['44091' '44181'],0.9999995
['08069' '04029'],0.9999995
['04121' '04029'],0.9999995
['92219' '92309'],0.9999995
['48079' '48149'],0.9999995
['08019' '04331'],0.9999995
['03059' '03549'],0.9999995
['08069' '01019'],0.9999995
['43341' '43351'],0.9999995
['65191' '65061'],0.9999995
['08079' '07571'],0.9999995
['44459' '44569'],0.9999995
['57149' '57019'],0.9999995
['92289' '92191'],0.9999995
['01012' '07571'],0.9999995
['46101' '46069'],0.9999995
['14021' '14229'],0.9999995
['68101' '68129'],0.9999995
['28539' '28391'],0.9999995
['05641' '03218'],0.9999995
['05069' '10018'],0.9999995
['44089' '44181'],0.9999995
['01621' '01012'],0.9999995
['15151' '15149'],0.9999995
['01621' '01019'],0.9999995
['68121' '68181'],0.9999995
['45191' '45189'],0.9999995
['45099' '45229'],0.9999995
['04121' '01019'],0.9999995
['99009' '99171'],0.9999995
['03111' '03549'],0.9999995
['44451' '44491'],0.9999995
['01019' '01112'],0.9999995
['14489' '14299'],0.9999995
['97151' '97169'],0.9999995
['82069' '83101'],0.9999995
['44049' '44259'],0.9999995
['65191' '65079'],0.9999995
['52109' '52089'],0.9999995
['04121' '08058'],0.9999995
['41159' '41141'],0.9999995
['97149' '97301'],0.9999995
['67109' '65031'],0.9999995
['08041' '07571'],0.9999995
['95081' '95099'],0.9999995
['08079' '04029'],0.9999995
['03129' '03031'],0.9999995
['14171' '14491'],0.9999995
['45271' '45309'],0.9999995
['14061' '05631'],0.9999995
['04179' '01639'],0.9999995
['03129' '03223'],0.9999995
['01541' '01549'],0.9999995
['15191' '15209'],0.9999995
['01019' '07571'],0.9999995
['67119' '65031'],0.9999995
['65199' '65089'],0.9999995
['03223' '05421'],0.9999995
['93101' '83229'],0.9999995
['01019' '07561'],0.9999995
['68101' '68199'],0.9999995
['18021' '18089'],0.9999995
['04179' '07571'],0.9999995
['43329' '43331'],0.9999995
['03129' '03151'],0.9999995
['01039' '07551'],0.9999995
['99131' '99189'],0.9999995
['45099' '45221'],0.9999995
['24011' '23371'],0.9999995
['99039' '99071'],0.9999995
['83181' '83209'],0.9999995
['04179' '01631'],0.9999995
['93159' '93161'],0.9999995
['59049' '59499'],0.9999995
['01119' '01113'],0.9999995
['80161' '01419'],0.9999995
['28539' '21431'],0.9999995
['01621' '02151'],0.9999995
['44009' '44941'],0.9999995
['14151' '14049'],0.9999995
['67609' '67611'],0.9999995
['28509' '28601'],0.9999995
['45201' '45199'],0.9999995
['99081' '99099'],0.9999995
['14309' '14031'],0.9999995
['14081' '14231'],0.9999995
['03129' '03071'],0.9999995
['14081' '14229'],0.9999995
['01012' '07561'],0.9999995
['03059' '03021'],0.9999995
['67121' '67661'],0.9999995
['68121' '68191'],0.9999994
['08031' '08011'],0.9999994
['05649' '05411'],0.9999994
['21161' '21439'],0.9999994
['65199' '65169'],0.9999994
['05521' '05629'],0.9999994
['03239' '03241'],0.9999994
['13169' '13181'],0.9999994
['45099' '49029'],0.9999994
['01119' '01139'],0.9999994
['05641' '05411'],0.9999994
['44251' '44031'],0.9999994
['08031' '08019'],0.9999994
['18131' '18261'],0.9999994
['01013' '07571'],0.9999994
['44091' '44599'],0.9999994
['99039' '99089'],0.9999994
['02141' '01541'],0.9999994
['93121' '93149'],0.9999994
['67491' '67051'],0.9999994
['02149' '01631'],0.9999994
