pair,prob
['44289' '44291'],0.9999989
['43051' '43829'],0.9999989
['83239' '83219'],0.9999989
['99011' '99029'],0.9999989
['42311' '42299'],0.9999989
['21449' '21719'],0.9999989
['18121' '18151'],0.9999989
['83171' '83189'],0.9999989
['21769' '21561'],0.9999989
['21241' '21431'],0.9999989
['44081' '44591'],0.9999989
['43789' '40369'],0.9999989
['67129' '65031'],0.9999989
['01012' '04167'],0.9999989
['95149' '95189'],0.9999989
['05023' '05319'],0.9999989
['18159' '18051'],0.9999989
['46049' '46051'],0.9999989
['43381' '43379'],0.9999989
['21389' '21249'],0.9999989
['44731' '44031'],0.9999989
['24011' '23039'],0.9999989
['93119' '83219'],0.9999989
['94051' '84661'],0.9999989
['44739' '44031'],0.9999989
['01519' '01639'],0.9999988
['05271' '05521'],0.9999988
['01511' '01639'],0.9999988
['40329' '43452'],0.9999988
['42319' '43311'],0.9999988
['02111' '02049'],0.9999988
['03041' '03549'],0.9999988
['21381' '21439'],0.9999988
['73031' '74019'],0.9999988
['10441' '10439'],0.9999988
['28451' '28279'],0.9999988
['99011' '98171'],0.9999988
['92149' '92071'],0.9999988
['43349' '43452'],0.9999988
['84199' '84351'],0.9999988
['83171' '93111'],0.9999988
['75021' '75401'],0.9999988
['93101' '83179'],0.9999988
['16219' '15071'],0.9999988
['54481' '54411'],0.9999988
['99019' '98171'],0.9999988
['01511' '01631'],0.9999988
['05069' '05421'],0.9999988
['07551' '07569'],0.9999988
['46491' '46521'],0.9999988
['15221' '15071'],0.9999988
['28521' '28601'],0.9999988
['02141' '01631'],0.9999988
['14171' '14359'],0.9999988
['03041' '05319'],0.9999988
['01419' '01211'],0.9999988
['01012' '04151'],0.9999988
['10331' '14249'],0.9999988
['83179' '93119'],0.9999988
['21441' '21711'],0.9999988
['45259' '45469'],0.9999988
['58191' '58189'],0.9999988
['65639' '65681'],0.9999988
['21161' '28539'],0.9999988
['92141' '92071'],0.9999988
['27439' '27409'],0.9999988
['44089' '44189'],0.9999988
